URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://172.209.216.154:3447/fhir/ValueSet/CIE10VS,0.1.0,active,,CIE10VS,Value Set: ICD10,"CIE10 code values",,"hl7.terminology.r4"
http://172.209.216.154:3447/fhir/ValueSet/PersonIdentifiersVS,0.1.0,draft,,PersonIdentifiersVS,Value Set: Person Identifier,"Eswatini Person Identifiers",,"Internal"
http://172.209.216.154:3447/fhir/ValueSet/SzChiefdomVS,0.1.0,draft,,SzChiefdomVS,Value Set: Chiefdoms Value Set,"Value set for ESwatini chiefdoms",,"Internal"
http://172.209.216.154:3447/fhir/ValueSet/SzClinicalObservationCodesVS,0.1.0,active,,EswatiniClinicalObservationCodes,Value Set: Clinical Observation Codes Value Set,"Includes standard and custom codes that can be used with the Clinical Observation Profile",,"SCT,Internal,LOINC"
http://172.209.216.154:3447/fhir/ValueSet/SzEncounterClassificationVS,0.1.0,active,,EswatiniEncounterClassification,Value Set: Encounter Classification,"Eswatini Encounter Classification Codes",,"THO (V3),Internal"
http://172.209.216.154:3447/fhir/ValueSet/SzEpisodeOfCareTypeVS,0.1.0,draft,,SzEpisodeOfCareTypeVS,Eswatini Episode of Care Valueset,"Eswatini Episode of Care Valueset",,"Internal,THO"
http://172.209.216.154:3447/fhir/ValueSet/SzFacilityServicePointVS,0.1.0,draft,,SzFacilityServicePointVS,Value set: Eswatini Facility Service Points,"Value set for Facility Service Points",,"Internal"
http://172.209.216.154:3447/fhir/ValueSet/SzMalariaEncounterCodesVS,0.1.0,draft,,SzMalariaEncounterCodesVS,Eswatini Malaria Encounter Codes,"Eswatini Malaria Encounter Codes",,"Internal"
http://172.209.216.154:3447/fhir/ValueSet/SzProductCodeVS,0.1.0,draft,,SzProductCodeVS,Value Set: Product Code Value Set,"Value set for ESwatini Product Codes",,"Internal"
http://172.209.216.154:3447/fhir/ValueSet/SzReaonsForReferralVS,0.1.0,active,,SzReaonsForReferralVS,Value Set: Reasons for Referral,"Eswatini Reasons for Referral",,"Internal"
http://172.209.216.154:3447/fhir/ValueSet/SzReferralIntentVS,0.1.0,active,,SzReferralIntentVS,Value Set: Referral Intent,"Eswatini Referral Intent",,"Internal,hl7.fhir.r4.core"
http://172.209.216.154:3447/fhir/ValueSet/SzReferralTypeVS,0.1.0,active,,SzReferralTypeVS,Value Set: Referral Type,"Eswatini Referral Types",,"Internal"
http://172.209.216.154:3447/fhir/ValueSet/SzSequenceOfConditionsVS,0.1.0,draft,,SzSequenceOfConditionsVS,Eswatini Cause of Death sequence of conditions,"Eswatini Cause of Death sequence of conditions",,"Internal"
http://172.209.216.154:3447/fhir/ValueSet/SzServiceRequestCategoryVS,0.1.0,active,,SzServiceRequestCategoryVS,Value Set: Service Request,"Eswatini Service Request",,"Internal"
http://172.209.216.154:3447/fhir/ValueSet/SzTestCodeVS,0.1.0,active,,SzTestCodeVS,Value Set: Local Test Codes,"Eswatini Local Test Codes",,"Internal"
http://172.209.216.154:3447/fhir/ValueSet/SzTestParameterCodeVS,0.1.0,draft,,SzTestParameterCodeVS,Value Set: Eswatini Local Test Parameter Codes,"",,"Internal"
http://172.209.216.154:3447/fhir/ValueSet/SzTinkhundlaVS,0.1.0,draft,,SzTinkhundlaVS,Value Set: Tinkhundla,"Value set for Eswatini Tinkhundla",,"Internal"
